id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
IA-012,IA,gdlLicensing,"What is the maximum driving distance allowed for farm work with a special minor's restricted license in Iowa?","50 miles","10 miles","15 miles","25 miles",3,D
IA-013,IA,cellPhone,"When did Iowa's hands-free cell phone law take effect?","July 1, 2025","January 1, 2025","April 2, 2025","September 1, 2025",0,A
IA-014,IA,cellPhone,"What is prohibited under Iowa's hands-free law?","Talking on speakerphone mode","Holding your phone while driving","Using Bluetooth devices only","Making any emergency calls",1,B
IA-015,IA,cellPhone,"Who is exempt from Iowa's hands-free law while performing professional duties?","Taxi and rideshare drivers","Delivery and courier drivers","Police and emergency responders","Commercial truck drivers only",2,C
IA-016,IA,cellPhone,"How can Iowa drivers legally use their phone for navigation while driving?","Holding it securely in one hand","Placing it on the dashboard area","Resting it securely on their lap","Mounting it and using voice commands",3,D
IA-017,IA,cellPhone,"When did law enforcement begin issuing citations for Iowa's hands-free law violations?","January 1, 2026","July 1, 2025","December 31, 2025","October 1, 2025",0,A
IA-018,IA,cellPhone,"Can you hold your phone while stopped at a red light in Iowa?","Yes, when vehicle fully stopped","No, the hands-free law still applies","Yes, if vehicle in park gear","Yes, for less than 30 seconds only",1,B
IA-019,IA,duiStateLaws,"What does OWI stand for in Iowa?","Operating While Intoxicated","Offense While Impaired","Operating While Intoxicated","Offense With Injury",2,C
IA-020,IA,duiStateLaws,"What is the legal BAC limit for adult drivers in Iowa?","0.10%","0.05%","0.06%","0.08%",3,D
IA-021,IA,duiStateLaws,"What is the BAC limit for drivers under age 21 in Iowa?","0.02%","0.01%","0.00%","0.04%",0,A
IA-022,IA,duiStateLaws,"What does Iowa's implied consent law mean?","You can refuse any testing","Driving means consenting to testing","You must verbally agree to testing","Chemical testing is optional",1,B
IA-023,IA,duiStateLaws,"What is the license revocation period for a first test refusal in Iowa?","6 months","2 years","1 year","90 days",2,C
IA-024,IA,duiStateLaws,"What is the BAC limit for commercial drivers in Iowa?","0.08%","0.02%","0.06%","0.04%",3,D
IA-025,IA,duiStateLaws,"What is considered an aggravating factor in Iowa OWI cases?","Having minors in the vehicle","Driving during daytime hours","First-time offense violation","Driving alone without passengers",0,A
IA-026,IA,duiStateLaws,"What happens to deferred judgment eligibility if you refuse chemical testing in Iowa?","No effect on eligibility status","You become ineligible for deferral","Eligibility delayed by 6 months","You must pay additional court fees",1,B
IA-027,IA,insurance,"Why is liability insurance required in Iowa?","To fund state safety programs","To protect insurance companies only","To pay for damages you cause others","To reduce vehicle registration fees",2,C
IA-028,IA,insurance,"What does liability insurance primarily cover in Iowa?","Your own vehicle repair costs","Your own medical expenses only","Rental car costs while repairing","Injuries and damage you cause others",3,D
IA-029,IA,insurance,"What are potential consequences of driving without insurance in Iowa?","License suspension and fines","Warning letter only","Increased registration fees only","Traffic school requirement only",0,A
IA-030,IA,insurance,"When must you show proof of insurance in Iowa?","At annual vehicle inspection","Before driving on public roads","Only when renewing registration","Only if you're in an accident",1,B
IA-031,IA,stateUnique,"When are you exempt from requiring an Iowa driver's license for farm equipment?","Driving within 50 miles of home farm","Driving during daylight hours only","Between home and farm within 2 miles","Driving on private property only",2,C
IA-032,IA,stateUnique,"What is required to operate an ATV for farm purposes beyond 2 miles from the farm in Iowa?","Special farm permit","DNR registration only","CDL license","Class C license",3,D
IA-033,IA,stateUnique,"What is the maximum speed for self-propelled implements of husbandry in Iowa?","35 mph or less","25 mph or less","40 mph or less","30 mph or less",0,A
IA-034,IA,stateUnique,"What purposes does a special minor's restricted license allow beyond school in Iowa?","Social events and parties","Farm work and employment","Shopping trips to stores","Recreational sports activities",1,B
IA-035,IA,stateUnique,"What can parents complete to waive the nighttime driving restriction for Iowa intermediate license holders?","Nighttime driving permit form","Parental consent affidavit form","Hour Restriction waiver form","Extended privilege application",2,C
IA-036,IA,stateUnique,"Who qualifies as a relative under Iowa's intermediate license passenger restriction?","Cousins, aunts, and uncles","Parents and grandparents only","Anyone in the same grade level","Siblings or minors in household",3,D
IA-037,IA,stateUnique,"Are farmers exempt from CDL requirements when operating within a certain radius in Iowa?","Yes, within 150 air miles of home farm","No exemptions exist for any farmers","Yes, within 50 air miles only maximum","Yes, within the county limits only",0,A
IA-038,IA,stateUnique,"What is the suspension period for a traffic violation with a special minor's restricted license in Iowa?","1 month","3 months","6 months","No suspension",1,B
IA-039,IA,stateUnique,"What qualifies as adult supervision for Iowa instruction permit holders?","Any adult over age 18 years old","Any licensed driver over age 18","Family 21+ or adult 25+ with consent","Parent or guardian only is allowed",2,C
IA-040,IA,stateUnique,"How many additional supervised driving hours are required before advancing from intermediate to full license in Iowa?","5 hours","20 hours","15 hours","10 hours",3,D
ID-001,ID,gdlLicensing,"What is the minimum age to apply for a Supervised Instruction Permit in Idaho?","14 and a half","15 years old","16 years old","14 years old",0,A
ID-002,ID,gdlLicensing,"How long must you hold a Supervised Instruction Permit after completing driver's education before getting a license?","3 months minimum","6 months or age 17","1 year minimum","9 months minimum",1,B
ID-003,ID,gdlLicensing,"How many total supervised driving hours are required during Idaho's GDL program?","30 hours total","40 hours total","50 hrs, 10 night","60 hours total",2,C
ID-004,ID,gdlLicensing,"How many hours of behind-the-wheel instruction are required in Idaho's driver education?","4 hours","8 hours","10 hours","6 hours",3,D
ID-005,ID,gdlLicensing,"What is the minimum age of a supervising driver when practicing with an Idaho instruction permit?","21 w/ license","18 years old","25 years old","19 years old",0,A
ID-006,ID,gdlLicensing,"During the first six months of an underage license, how many non-family passengers under 17 can you carry?","Two passengers","One passenger","Three passengers","No passengers",1,B
ID-007,ID,gdlLicensing,"When can drivers under 16 with an underage license drive without supervision?","Never permitted","Anytime allowed","Daylight hours","Weekends only",2,C
ID-008,ID,gdlLicensing,"At what age can you obtain a full unrestricted driver's license in Idaho?","16 years old","16 and a half years old","18 years old","17 years old",3,D
ID-009,ID,gdlLicensing,"What is the minimum age to apply for an underage driver's license in Idaho?","15 years old","14 and a half years old","16 years old","14 years old",0,A
ID-010,ID,gdlLicensing,"What happens to a teen driver's privileges after a second traffic conviction in Idaho?","Warning issued only","30-day suspension","Retake driver's ed","No changes occur",1,B
ID-011,ID,gdlLicensing,"Where must the supervising driver sit when a permit holder is practicing in Idaho?","Anywhere in vehicle","In the back seat","Front passenger seat","Front or back seat",2,C
ID-012,ID,gdlLicensing,"How many hours of classroom instruction are required for Idaho driver education?","20 hours","25 hours","35 hours","30 hours",3,D
ID-013,ID,cellPhone,"What does Idaho's hands-free law prohibit while operating a vehicle?","Touching for texts/apps","All phone use banned","Only texting messages","Only phone calls made",0,A
ID-014,ID,cellPhone,"When are you considered to be operating a vehicle under Idaho's distracted driving law?","Only when the vehicle is moving","Even when stopped at signals/traffic","Only on highways and interstates","Only when above 25 mph speed",1,B
ID-015,ID,cellPhone,"What type of device use is permitted while driving in Idaho?","Any use at red lights","Watching videos hands-free","Hands-free or voice-operated","All handheld use allowed",2,C
ID-016,ID,cellPhone,"How can you legally activate a function on your phone while driving in Idaho?","Cannot use it at all","Only with both hands","Ask passenger to do it","Single touch or voice",3,D
ID-017,ID,cellPhone,"What happens to your insurance after a first distracted driving violation in Idaho?","It cannot be affected","It increases immediately","It is cancelled","You lose coverage",0,A
ID-018,ID,cellPhone,"How many distracted driving violations within three years can affect your insurance rates in Idaho?","One violation only","Two or more violations","Three violations total","Four violations total",1,B
ID-019,ID,duiStateLaws,"What is the standard blood alcohol concentration limit for adult drivers in Idaho?","0.10%","0.05%","0.08%","0.06%",2,C
ID-020,ID,duiStateLaws,"What BAC level is considered excessive DUI with enhanced penalties in Idaho?","0.10% or higher","0.15% or higher","0.18% or higher","0.20% or higher",3,D
ID-021,ID,duiStateLaws,"What does Idaho's implied consent law require of drivers?","Submit to tests if arrested","Carry signed consent form","Agree to roadside tests","Allow vehicle searches",0,A
